FIPS Code,State,Area name,Attribute,Value
25025,MA,Suffolk County,"Percent of adults with a bachelor's degree or higher, 2019-23",49.89227678
25027,MA,Worcester County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.02564537
25001,MA,Barnstable County,"Percent of adults with a bachelor's degree or higher, 2019-23",47.40566556
25019,MA,Nantucket County,"Percent of adults with a bachelor's degree or higher, 2019-23",58.38277512
25011,MA,Franklin County,"Percent of adults with a bachelor's degree or higher, 2019-23",40.30131827
25015,MA,Hampshire County,"Percent of adults with a bachelor's degree or higher, 2019-23",51.12008961
25021,MA,Norfolk County,"Percent of adults with a bachelor's degree or higher, 2019-23",57.64559746
25013,MA,Hampden County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.92509019
26093,MI,Livingston County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.20047477
26079,MI,Kalkaska County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.24089467
26061,MI,Houghton County,"Percent of adults with a bachelor's degree or higher, 2019-23",36.59758283
26015,MI,Barry County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.25631347
26161,MI,Washtenaw County,"Percent of adults with a bachelor's degree or higher, 2019-23",58.13050563
26145,MI,Saginaw County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.44664008
26021,MI,Berrien County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.24921253
26153,MI,Schoolcraft County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.65584311
26125,MI,Oakland County,"Percent of adults with a bachelor's degree or higher, 2019-23",50.20817878
27017,MN,Carlton County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.49786904
27137,MN,St. Louis County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.50076018
27033,MN,Cottonwood County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.87632326
27169,MN,Winona County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.05793758
27121,MN,Pope County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.84998179
27141,MN,Sherburne County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.12523923
27043,MN,Faribault County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.56051277
27067,MN,Kandiyohi County,"Percent of adults with a bachelor's degree or higher, 2019-23",27.09762444
27135,MN,Roseau County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.48923865
28155,MS,Webster County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.09435353
28109,MS,Pearl River County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.95862104
28055,MS,Issaquena County,"Percent of adults with a bachelor's degree or higher, 2019-23",4.402515723
28139,MS,Tippah County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.36325445
28051,MS,Holmes County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.72309428
28079,MS,Leake County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.74669665
28103,MS,Noxubee County,"Percent of adults with a bachelor's degree or higher, 2019-23",11.14569438
28095,MS,Monroe County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.39655609
28113,MS,Pike County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.87689681
29133,MO,Mississippi County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.06634627
29115,MO,Linn County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.07093933
29031,MO,Cape Girardeau County,"Percent of adults with a bachelor's degree or higher, 2019-23",33.87379574
29063,MO,DeKalb County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.81706576
29057,MO,Dade County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.20446766
29017,MO,Bollinger County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.17406279
29087,MO,Holt County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.48309179
29005,MO,Atchison County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.04497908
29151,MO,Osage County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.81227915
30071,MT,Phillips County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.61345646
30029,MT,Flathead County,"Percent of adults with a bachelor's degree or higher, 2019-23",36.03414534
30075,MT,Powder River County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.22321429
30109,MT,Wibaux County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.83120205
30001,MT,Beaverhead County,"Percent of adults with a bachelor's degree or higher, 2019-23",35.50929368
30009,MT,Carbon County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.27840841
30091,MT,Sheridan County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.65028355
30081,MT,Ravalli County,"Percent of adults with a bachelor's degree or higher, 2019-23",29.78255205
30007,MT,Broadwater County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.34741442
31059,NE,Fillmore County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.9364232
31017,NE,Brown County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.19979664
31009,NE,Blaine County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.58139535
31085,NE,Hayes County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.9375
31019,NE,Buffalo County,"Percent of adults with a bachelor's degree or higher, 2019-23",34.63733461
