FIPS Code,State,Area name,Attribute,Value
40075,OK,Kiowa County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.42465753
40055,OK,Greer County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.25721455
40015,OK,Caddo County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.46930911
40139,OK,Texas County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.41704213
40147,OK,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.4580557
40081,OK,Lincoln County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.47237534
40143,OK,Tulsa County,"Percent of adults with a bachelor's degree or higher, 2019-23",33.71583946
40013,OK,Bryan County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.38776483
41061,OR,Union County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.91315984
41065,OR,Wasco County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.77860366
41067,OR,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",46.68987391
41021,OR,Gilliam County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.9472982
41007,OR,Clatsop County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.29852378
41071,OR,Yamhill County,"Percent of adults with a bachelor's degree or higher, 2019-23",29.24226686
41033,OR,Josephine County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.71391615
41005,OR,Clackamas County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.68836384
41055,OR,Sherman County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.12903226
42047,PA,Elk County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.94462269
42017,PA,Bucks County,"Percent of adults with a bachelor's degree or higher, 2019-23",43.94964001
42131,PA,Wyoming County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.50148873
42061,PA,Huntingdon County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.18981496
42051,PA,Fayette County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.93037961
42015,PA,Bradford County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.20912959
42121,PA,Venango County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.65274418
42113,PA,Sullivan County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.74979491
42073,PA,Lawrence County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.77950235
44003,RI,Kent County,"Percent of adults with a bachelor's degree or higher, 2019-23",34.29654155
44001,RI,Bristol County,"Percent of adults with a bachelor's degree or higher, 2019-23",51.75320297
44005,RI,Newport County,"Percent of adults with a bachelor's degree or higher, 2019-23",53.04806289
44007,RI,Providence County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.20101195
44009,RI,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",50.48081657
45085,SC,Sumter County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.15845486
45075,SC,Orangeburg County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.36203356
45073,SC,Oconee County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.51701935
45067,SC,Marion County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.77755759
45041,SC,Florence County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.64639452
45033,SC,Dillon County,"Percent of adults with a bachelor's degree or higher, 2019-23",11.68824164
45027,SC,Clarendon County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.66786014
45083,SC,Spartanburg County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.73732749
45031,SC,Darlington County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.69942571
46069,SD,Hyde County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.11111111
46102,SD,Oglala Lakota County,"Percent of adults with a bachelor's degree or higher, 2019-23",9.782454145
46035,SD,Davison County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.95730304
46087,SD,McCook County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.65543972
46085,SD,Lyman County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.25817556
46041,SD,Dewey County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.28704366
46061,SD,Hanson County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.54897494
46043,SD,Douglas County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.92860865
46099,SD,Minnehaha County,"Percent of adults with a bachelor's degree or higher, 2019-23",34.56545339
47019,TN,Carter County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.657277
47003,TN,Bedford County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.90924532
47117,TN,Marshall County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.99144731
47159,TN,Smith County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.94781382
47145,TN,Roane County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.04030227
47025,TN,Claiborne County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.30353592
47137,TN,Pickett County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.1661409
47055,TN,Giles County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.2372093
47129,TN,Morgan County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.70744578
48135,TX,Ector County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.6474625
48067,TX,Cass County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.5978207
48477,TX,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",31.00223623
48179,TX,Gray County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.39952617
48451,TX,Tom Green County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.11717004
48035,TX,Bosque County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.72789521
48125,TX,Dickens County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.11148365
48189,TX,Hale County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.63188464
48145,TX,Falls County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.95434729
49011,UT,Davis County,"Percent of adults with a bachelor's degree or higher, 2019-23",38.68939608
49029,UT,Morgan County,"Percent of adults with a bachelor's degree or higher, 2019-23",38.84459365
49053,UT,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",33.28757502
49035,UT,Salt Lake County,"Percent of adults with a bachelor's degree or higher, 2019-23",38.63020561
49045,UT,Tooele County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.20170805
49019,UT,Grand County,"Percent of adults with a bachelor's degree or higher, 2019-23",34.73027842
49039,UT,Sanpete County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.17925592
49041,UT,Sevier County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.059642
49033,UT,Rich County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.46941323
50001,VT,Addison County,"Percent of adults with a bachelor's degree or higher, 2019-23",43.47229632
50021,VT,Rutland County,"Percent of adults with a bachelor's degree or higher, 2019-23",33.53452867
50017,VT,Orange County,"Percent of adults with a bachelor's degree or higher, 2019-23",36.52008514
50009,VT,Essex County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.17750439
50003,VT,Bennington County,"Percent of adults with a bachelor's degree or higher, 2019-23",41.159657
50005,VT,Caledonia County,"Percent of adults with a bachelor's degree or higher, 2019-23",31.94657522
50025,VT,Windham County,"Percent of adults with a bachelor's degree or higher, 2019-23",42.35448962
50027,VT,Windsor County,"Percent of adults with a bachelor's degree or higher, 2019-23",41.91159717
50013,VT,Grand Isle County,"Percent of adults with a bachelor's degree or higher, 2019-23",43.17700987
51081,VA,Greensville County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.78182668
51145,VA,Powhatan County,"Percent of adults with a bachelor's degree or higher, 2019-23",34.22575977
51153,VA,Prince William County,"Percent of adults with a bachelor's degree or higher, 2019-23",44.47757374
51109,VA,Louisa County,"Percent of adults with a bachelor's degree or higher, 2019-23",27.65369963
51183,VA,Sussex County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.80860085
51107,VA,Loudoun County,"Percent of adults with a bachelor's degree or higher, 2019-23",64.0137464
51141,VA,Patrick County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.229906
51810,VA,Virginia Beach city,"Percent of adults with a bachelor's degree or higher, 2019-23",40.41547797
51770,VA,Roanoke city,"Percent of adults with a bachelor's degree or higher, 2019-23",28.89210717
53033,WA,King County,"Percent of adults with a bachelor's degree or higher, 2019-23",55.929893
53007,WA,Chelan County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.22025793
53011,WA,Clark County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.96043439
53055,WA,San Juan County,"Percent of adults with a bachelor's degree or higher, 2019-23",53.40796185
53035,WA,Kitsap County,"Percent of adults with a bachelor's degree or higher, 2019-23",36.52506822
53005,WA,Benton County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.97526636
53001,WA,Adams County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.42534416
53043,WA,Lincoln County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.69562523
53049,WA,Pacific County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.35634626
54017,WV,Doddridge County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.69977659
54081,WV,Raleigh County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.62687819
54033,WV,Harrison County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.89274232
54021,WV,Gilmer County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.87275449
54095,WV,Tyler County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.66324843
54057,WV,Mineral County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.81105991
54071,WV,Pendleton County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.45604034
54091,WV,Taylor County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.35291691
54055,WV,Mercer County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.6675593
55141,WI,Wood County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.42358029
55003,WI,Ashland County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.10310015
55029,WI,Door County,"Percent of adults with a bachelor's degree or higher, 2019-23",37.10957285
55019,WI,Clark County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.41718105
55039,WI,Fond du Lac County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.61084081
55009,WI,Brown County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.43333902
55093,WI,Pierce County,"Percent of adults with a bachelor's degree or higher, 2019-23",31.98398413
55037,WI,Florence County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.12721329
55109,WI,St. Croix County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.38824544
56009,WY,Converse County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.87609222
56003,WY,Big Horn County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.88811709
56019,WY,Johnson County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.31408629
56023,WY,Lincoln County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.12067697
56043,WY,Washakie County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.03235775
56039,WY,Teton County,"Percent of adults with a bachelor's degree or higher, 2019-23",61.21971596
56013,WY,Fremont County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.25450569
56015,WY,Goshen County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.6105919
56021,WY,Laramie County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.04091997
72027,PR,Camuy Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",21.24715077
72089,PR,Luquillo Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",23.4827086
72141,PR,Utuado Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",22.74338827
72103,PR,Naguabo Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",23.71589328
72039,PR,Ciales Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",16.99730202
72059,PR,Guayanilla Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",25.00588651
72041,PR,Cidra Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",26.17582718
72045,PR,Comerío Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",17.98581971
72147,PR,Vieques Municipio,"Percent of adults with a bachelor's degree or higher, 2019-23",12.37130521
